model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.344±0.055,0.265±0.005,0.254±0.009,0.254±0.009,2.39±0.39s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.337±0.057,0.265±0.005,0.255±0.009,0.255±0.009,2.35±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.344±0.055,0.265±0.005,0.254±0.009,0.254±0.009,2.39±0.39s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.337±0.057,0.265±0.005,0.255±0.009,0.255±0.009,2.34±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.339±0.055,0.264±0.007,0.251±0.006,0.251±0.006,3.14±1.22s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.296±0.011,0.264±0.007,0.252±0.004,0.252±0.004,2.89±0.27s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.290±0.034,0.264±0.007,0.250±0.014,0.250±0.014,2.57±0.73s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.338±0.055,0.264±0.007,0.252±0.006,0.252±0.006,3.11±1.19s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.296±0.011,0.264±0.007,0.252±0.004,0.252±0.004,2.90±0.27s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.001,0.290±0.034,0.264±0.007,0.250±0.014,0.250±0.014,2.57±0.73s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.289±0.035,0.264±0.009,0.248±0.009,0.248±0.009,2.82±1.03s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.361±0.079,0.264±0.007,0.255±0.007,0.255±0.007,2.33±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.289±0.013,0.264±0.007,0.254±0.004,0.254±0.004,2.60±0.28s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.285±0.022,0.264±0.007,0.255±0.005,0.255±0.005,2.68±0.48s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.290±0.011,0.264±0.008,0.250±0.006,0.250±0.006,2.55±0.29s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.289±0.027,0.264±0.007,0.251±0.011,0.251±0.011,2.71±0.53s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.361±0.079,0.264±0.007,0.255±0.007,0.255±0.007,2.33±0.48s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.289±0.013,0.264±0.007,0.254±0.004,0.254±0.004,2.59±0.26s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.285±0.022,0.264±0.007,0.255±0.005,0.255±0.005,2.67±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.290±0.011,0.264±0.008,0.250±0.006,0.250±0.006,2.55±0.29s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.289±0.027,0.264±0.007,0.251±0.011,0.251±0.011,2.70±0.52s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.287±0.030,0.263±0.008,0.249±0.012,0.249±0.012,2.52±1.04s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.01,0.286±0.022,0.263±0.007,0.253±0.007,0.253±0.007,2.63±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.288±0.030,0.263±0.008,0.249±0.012,0.249±0.012,2.55±1.06s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.01,0.286±0.022,0.263±0.007,0.253±0.007,0.253±0.007,2.64±0.47s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.354±0.084,0.263±0.006,0.255±0.008,0.255±0.008,2.26±0.58s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.364±0.090,0.263±0.006,0.254±0.010,0.254±0.010,2.48±0.56s
Goodie,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.314±0.066,0.263±0.007,0.255±0.010,0.255±0.010,3.20±0.97s
