model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.770±0.009,0.648±0.003,0.215±0.014,0.215±0.014,13.55±0.77s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,2.0,0.99,1.0,0.776±0.008,0.646±0.005,0.215±0.015,0.215±0.015,28.17±1.59s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,2.0,0.99,1.0,0.779±0.008,0.643±0.002,0.219±0.016,0.219±0.016,15.99±1.09s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,2.0,0.99,1.0,0.778±0.013,0.638±0.005,0.218±0.014,0.218±0.014,30.17±2.08s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.754±0.013,0.634±0.007,0.218±0.010,0.218±0.010,22.01±2.55s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.756±0.008,0.633±0.006,0.218±0.012,0.218±0.012,12.55±0.67s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.760±0.009,0.633±0.007,0.215±0.012,0.215±0.012,12.98±1.23s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.763±0.010,0.630±0.008,0.216±0.013,0.216±0.013,26.65±2.28s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,2.0,0.99,1.0,0.756±0.012,0.629±0.003,0.214±0.014,0.214±0.014,8.22±0.54s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,2.0,0.99,1.0,0.763±0.012,0.625±0.003,0.220±0.013,0.220±0.013,9.86±1.62s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,2.0,0.99,1.0,0.763±0.014,0.623±0.007,0.220±0.013,0.220±0.013,15.78±1.15s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.728±0.017,0.623±0.008,0.221±0.009,0.221±0.009,19.61±3.76s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.745±0.010,0.622±0.009,0.215±0.011,0.215±0.011,23.87±2.36s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.733±0.015,0.621±0.008,0.215±0.011,0.215±0.011,10.45±1.74s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.742±0.009,0.620±0.007,0.214±0.012,0.214±0.012,11.46±0.44s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.741±0.013,0.619±0.005,0.219±0.011,0.219±0.011,7.37±1.06s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.744±0.011,0.618±0.007,0.219±0.010,0.219±0.010,13.80±1.36s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.708±0.022,0.618±0.005,0.216±0.011,0.216±0.011,17.51±3.85s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.704±0.009,0.617±0.005,0.217±0.009,0.217±0.009,7.93±0.93s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.729±0.013,0.617±0.008,0.217±0.009,0.217±0.009,21.81±3.36s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.99,1.0,0.740±0.010,0.615±0.005,0.217±0.013,0.217±0.013,7.43±1.01s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,2.0,0.99,1.0,0.770±0.007,0.615±0.004,0.217±0.014,0.217±0.014,18.10±1.22s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.719±0.017,0.615±0.009,0.215±0.008,0.215±0.008,17.97±1.31s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.712±0.016,0.614±0.005,0.221±0.010,0.221±0.010,9.39±2.04s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.688±0.007,0.614±0.007,0.217±0.010,0.217±0.010,15.06±1.22s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.688±0.008,0.613±0.006,0.215±0.007,0.215±0.007,7.55±0.48s
LRGCN,Actor,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.706±0.011,0.613±0.008,0.216±0.008,0.216±0.008,8.12±0.85s
