model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.847±0.008,0.685±0.010,0.671±0.018,0.671±0.018,1.44±0.30s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.847±0.008,0.685±0.010,0.671±0.018,0.671±0.018,1.42±0.29s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.844±0.011,0.684±0.011,0.670±0.015,0.670±0.015,1.11±0.32s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.844±0.011,0.684±0.011,0.670±0.015,0.670±0.015,1.11±0.32s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.846±0.007,0.682±0.013,0.672±0.015,0.672±0.015,1.19±0.42s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.846±0.007,0.682±0.013,0.672±0.015,0.672±0.015,1.19±0.42s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.846±0.010,0.681±0.009,0.668±0.019,0.668±0.019,1.31±0.30s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.846±0.010,0.681±0.009,0.668±0.019,0.668±0.019,1.31±0.30s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.844±0.005,0.679±0.013,0.665±0.016,0.665±0.016,1.30±0.47s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.844±0.005,0.679±0.013,0.665±0.016,0.665±0.016,1.26±0.45s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.838±0.011,0.678±0.010,0.667±0.017,0.667±0.017,0.95±0.17s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.838±0.011,0.678±0.010,0.667±0.017,0.667±0.017,0.94±0.17s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.822±0.016,0.677±0.010,0.661±0.016,0.661±0.016,1.48±0.16s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.817±0.017,0.677±0.010,0.660±0.014,0.660±0.014,1.35±0.20s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.822±0.016,0.677±0.010,0.661±0.016,0.661±0.016,1.47±0.16s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.817±0.017,0.677±0.010,0.660±0.014,0.660±0.014,1.34±0.20s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.819±0.014,0.677±0.009,0.662±0.010,0.662±0.010,1.26±0.26s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.819±0.014,0.677±0.009,0.662±0.010,0.662±0.010,1.28±0.26s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.843±0.003,0.676±0.010,0.664±0.016,0.664±0.016,0.92±0.05s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.843±0.003,0.676±0.010,0.664±0.016,0.664±0.016,0.90±0.05s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.817±0.014,0.675±0.010,0.661±0.011,0.661±0.011,1.30±0.37s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.817±0.014,0.675±0.010,0.661±0.011,0.661±0.011,1.29±0.36s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.838±0.008,0.673±0.010,0.657±0.014,0.657±0.014,0.93±0.08s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.838±0.008,0.673±0.010,0.657±0.014,0.657±0.014,0.90±0.08s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.831±0.021,0.673±0.010,0.660±0.014,0.660±0.014,0.92±0.08s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.831±0.021,0.673±0.010,0.660±0.014,0.660±0.014,0.92±0.08s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.835±0.008,0.671±0.009,0.660±0.014,0.660±0.014,1.02±0.11s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.835±0.008,0.671±0.009,0.660±0.014,0.660±0.014,0.99±0.11s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.828±0.019,0.671±0.010,0.660±0.015,0.660±0.015,0.97±0.12s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,1.0,0.828±0.019,0.671±0.010,0.660±0.015,0.660±0.015,1.00±0.12s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.824±0.023,0.670±0.009,0.657±0.015,0.657±0.015,1.44±0.50s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.824±0.023,0.670±0.009,0.657±0.015,0.657±0.015,1.43±0.49s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.811±0.009,0.670±0.011,0.658±0.013,0.658±0.013,0.99±0.16s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.811±0.009,0.670±0.011,0.658±0.013,0.658±0.013,1.01±0.16s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.824±0.026,0.669±0.009,0.652±0.017,0.652±0.017,1.35±0.48s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.824±0.026,0.669±0.009,0.652±0.017,0.652±0.017,1.37±0.50s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.812±0.019,0.665±0.011,0.653±0.017,0.653±0.017,1.28±0.48s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.812±0.019,0.665±0.011,0.653±0.017,0.653±0.017,1.27±0.48s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.799±0.009,0.665±0.010,0.658±0.011,0.658±0.011,1.03±0.06s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.799±0.009,0.665±0.010,0.658±0.011,0.658±0.011,1.02±0.06s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.803±0.006,0.662±0.014,0.651±0.017,0.651±0.017,0.94±0.10s
Goodie,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.803±0.006,0.662±0.014,0.651±0.017,0.651±0.017,0.93±0.10s
