model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.947±0.005,0.898±0.009,0.669±0.010,0.669±0.010,1.82±0.32s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.948±0.006,0.897±0.010,0.666±0.009,0.666±0.009,2.51±0.69s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.949±0.005,0.895±0.011,0.668±0.009,0.668±0.009,1.93±0.38s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.942±0.004,0.894±0.010,0.653±0.018,0.653±0.018,1.40±0.33s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.945±0.004,0.894±0.010,0.667±0.016,0.667±0.016,1.18±0.20s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.945±0.004,0.894±0.011,0.656±0.013,0.656±0.013,1.54±0.19s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.946±0.005,0.894±0.011,0.663±0.009,0.663±0.009,1.65±0.14s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.945±0.004,0.894±0.010,0.664±0.012,0.664±0.012,1.79±0.33s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.938±0.004,0.892±0.011,0.661±0.014,0.661±0.014,1.08±0.39s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.940±0.005,0.891±0.009,0.673±0.014,0.673±0.014,0.99±0.18s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.939±0.004,0.889±0.008,0.666±0.016,0.666±0.016,1.41±0.36s
LRGCN,Citeseer,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.944±0.004,0.888±0.011,0.681±0.014,0.681±0.014,1.38±0.34s
