model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.910±0.008,0.843±0.017,0.845±0.015,0.845±0.015,1.31±0.31s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.910±0.008,0.843±0.017,0.845±0.015,0.845±0.015,1.32±0.31s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.909±0.008,0.843±0.019,0.844±0.016,0.844±0.016,1.05±0.19s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.908±0.007,0.843±0.019,0.844±0.018,0.844±0.018,1.09±0.28s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.909±0.008,0.843±0.019,0.844±0.016,0.844±0.016,1.04±0.19s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.908±0.007,0.843±0.019,0.844±0.018,0.844±0.018,1.15±0.29s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.907±0.010,0.842±0.019,0.843±0.014,0.843±0.014,0.94±0.24s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.908±0.008,0.842±0.018,0.845±0.016,0.845±0.016,0.98±0.20s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.907±0.010,0.842±0.019,0.843±0.014,0.843±0.014,0.92±0.23s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.908±0.008,0.842±0.018,0.845±0.016,0.845±0.016,0.98±0.19s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.909±0.008,0.841±0.019,0.840±0.016,0.840±0.016,1.29±0.32s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.911±0.007,0.841±0.017,0.841±0.016,0.841±0.016,1.32±0.28s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.909±0.008,0.841±0.019,0.840±0.016,0.840±0.016,1.28±0.31s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.911±0.007,0.841±0.017,0.841±0.016,0.841±0.016,1.29±0.27s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.908±0.008,0.841±0.019,0.842±0.018,0.842±0.018,1.00±0.19s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.908±0.008,0.841±0.019,0.842±0.018,0.842±0.018,1.04±0.19s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.907±0.010,0.841±0.018,0.842±0.013,0.842±0.013,0.93±0.24s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.907±0.010,0.841±0.018,0.842±0.013,0.842±0.013,0.96±0.24s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.897±0.006,0.833±0.018,0.835±0.008,0.835±0.008,1.70±0.22s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.897±0.006,0.833±0.018,0.835±0.008,0.835±0.008,1.77±0.21s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.899±0.009,0.832±0.021,0.833±0.016,0.833±0.016,2.13±0.24s
Goodie,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.899±0.009,0.832±0.021,0.833±0.016,0.833±0.016,2.23±0.25s
