model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.984±0.003,0.826±0.021,0.829±0.013,0.829±0.013,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.984±0.003,0.826±0.021,0.829±0.013,0.829±0.013,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.999±0.001,0.823±0.018,0.822±0.011,0.822±0.011,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.999±0.001,0.823±0.018,0.822±0.011,0.822±0.011,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.817±0.019,0.816±0.008,0.816±0.008,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.817±0.019,0.816±0.008,0.816±0.008,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.812±0.017,0.809±0.008,0.809±0.008,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.812±0.017,0.809±0.008,0.809±0.008,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.806±0.017,0.801±0.010,0.801±0.010,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.806±0.017,0.801±0.010,0.801±0.010,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.845±0.011,0.721±0.021,0.732±0.021,0.732±0.021,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.845±0.011,0.721±0.021,0.732±0.021,0.732±0.021,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.699±0.013,0.647±0.017,0.652±0.018,0.652±0.018,0.01±0.00s
LP,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.699±0.013,0.647±0.017,0.652±0.018,0.652±0.018,0.01±0.00s
