model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.967±0.006,0.914±0.007,0.842±0.012,0.842±0.012,1.11±0.31s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.964±0.007,0.914±0.007,0.847±0.011,0.847±0.011,0.96±0.26s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.969±0.003,0.913±0.007,0.844±0.013,0.844±0.013,1.92±0.48s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.970±0.004,0.913±0.007,0.841±0.010,0.841±0.010,2.15±0.45s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.956±0.026,0.912±0.012,0.848±0.016,0.848±0.016,0.96±0.26s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.971±0.003,0.912±0.008,0.845±0.011,0.845±0.011,1.25±0.19s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.968±0.005,0.912±0.007,0.846±0.007,0.846±0.007,2.03±0.70s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.964±0.006,0.911±0.008,0.845±0.010,0.845±0.010,1.04±0.29s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.958±0.015,0.911±0.014,0.846±0.015,0.846±0.015,1.11±0.33s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.970±0.004,0.911±0.007,0.845±0.010,0.845±0.010,1.15±0.31s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.971±0.003,0.911±0.007,0.845±0.013,0.845±0.013,1.13±0.18s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.963±0.006,0.910±0.009,0.852±0.012,0.852±0.012,1.09±0.20s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.967±0.005,0.909±0.007,0.846±0.014,0.846±0.014,1.06±0.18s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.963±0.003,0.909±0.008,0.848±0.012,0.848±0.012,0.87±0.08s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.963±0.004,0.909±0.006,0.848±0.012,0.848±0.012,0.82±0.16s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.964±0.005,0.909±0.007,0.847±0.011,0.847±0.011,1.59±0.77s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.973±0.004,0.909±0.007,0.847±0.014,0.847±0.014,2.22±0.56s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.951±0.026,0.908±0.009,0.848±0.014,0.848±0.014,0.87±0.22s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.963±0.005,0.908±0.006,0.849±0.014,0.849±0.014,0.89±0.15s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.964±0.002,0.908±0.008,0.846±0.011,0.846±0.011,1.50±0.30s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.963±0.011,0.908±0.015,0.844±0.010,0.844±0.010,2.41±0.82s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.973±0.003,0.908±0.008,0.843±0.011,0.843±0.011,2.27±0.54s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.959±0.004,0.907±0.009,0.853±0.013,0.853±0.013,0.72±0.12s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.958±0.007,0.907±0.008,0.854±0.012,0.854±0.012,0.98±0.08s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.964±0.005,0.907±0.008,0.850±0.009,0.850±0.009,2.27±0.49s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.962±0.011,0.906±0.007,0.847±0.016,0.847±0.016,1.47±0.32s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.963±0.004,0.906±0.010,0.846±0.011,0.846±0.011,1.75±0.53s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.958±0.008,0.905±0.008,0.848±0.013,0.848±0.013,0.77±0.20s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.958±0.007,0.905±0.009,0.859±0.008,0.859±0.008,0.86±0.24s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.950±0.030,0.905±0.013,0.850±0.012,0.850±0.012,1.18±0.45s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.963±0.022,0.905±0.012,0.844±0.012,0.844±0.012,2.52±1.27s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.957±0.007,0.904±0.008,0.852±0.011,0.852±0.011,0.78±0.17s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.963±0.007,0.904±0.009,0.846±0.013,0.846±0.013,1.22±0.35s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.942±0.033,0.904±0.012,0.852±0.011,0.852±0.011,0.99±0.50s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.960±0.012,0.904±0.016,0.844±0.012,0.844±0.012,1.35±0.63s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.949±0.025,0.904±0.011,0.852±0.012,0.852±0.012,2.02±0.83s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,2.0,0.99,1.0,0.965±0.008,0.904±0.011,0.849±0.014,0.849±0.014,2.67±0.30s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.957±0.006,0.903±0.007,0.849±0.013,0.849±0.013,0.78±0.19s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.958±0.019,0.903±0.018,0.848±0.014,0.848±0.014,1.01±0.40s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.961±0.005,0.902±0.008,0.847±0.010,0.847±0.010,0.99±0.19s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.958±0.007,0.902±0.011,0.857±0.008,0.857±0.008,1.10±0.19s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.959±0.006,0.902±0.009,0.850±0.007,0.850±0.007,1.20±0.18s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.955±0.024,0.902±0.011,0.846±0.010,0.846±0.010,1.05±0.39s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.956±0.010,0.901±0.013,0.854±0.017,0.854±0.017,1.02±0.31s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.943±0.024,0.901±0.009,0.860±0.011,0.860±0.011,0.78±0.12s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.948±0.012,0.900±0.007,0.853±0.008,0.853±0.008,0.82±0.22s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.946±0.025,0.900±0.010,0.855±0.013,0.855±0.013,0.92±0.23s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.966±0.013,0.900±0.018,0.849±0.007,0.849±0.007,2.29±0.85s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.943±0.024,0.899±0.010,0.854±0.016,0.854±0.016,0.88±0.34s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.949±0.030,0.899±0.015,0.850±0.011,0.850±0.011,1.18±0.43s
LRGCN,Cora,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.941±0.025,0.899±0.018,0.848±0.015,0.848±0.015,0.81±0.47s
