model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.592±0.102,0.484±0.042,0.450±0.051,0.450±0.051,0.65±0.18s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.592±0.103,0.484±0.042,0.449±0.051,0.449±0.051,0.62±0.18s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.567±0.095,0.479±0.042,0.453±0.052,0.453±0.052,0.62±0.16s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.551±0.107,0.479±0.051,0.452±0.053,0.452±0.053,0.59±0.19s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.567±0.095,0.479±0.042,0.453±0.052,0.453±0.052,0.58±0.15s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.551±0.107,0.479±0.051,0.452±0.053,0.452±0.053,0.58±0.18s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.522±0.092,0.473±0.045,0.458±0.049,0.458±0.049,0.57±0.17s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.522±0.092,0.473±0.045,0.458±0.049,0.458±0.049,0.54±0.17s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.492±0.095,0.470±0.044,0.463±0.060,0.463±0.060,0.58±0.19s
Goodie,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.492±0.095,0.470±0.044,0.463±0.060,0.463±0.060,0.58±0.20s
