model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.852±0.042,0.728±0.043,0.535±0.067,0.535±0.067,0.43±0.13s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.865±0.040,0.725±0.042,0.538±0.060,0.538±0.060,0.52±0.18s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.850±0.051,0.724±0.041,0.539±0.074,0.539±0.074,0.36±0.09s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.857±0.033,0.719±0.048,0.531±0.066,0.531±0.066,0.44±0.11s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.857±0.030,0.719±0.042,0.534±0.066,0.534±0.066,0.46±0.14s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.864±0.046,0.719±0.043,0.534±0.061,0.534±0.061,0.57±0.18s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.855±0.027,0.716±0.041,0.542±0.075,0.542±0.075,0.41±0.10s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.860±0.034,0.716±0.047,0.521±0.064,0.521±0.064,0.52±0.15s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.847±0.063,0.716±0.048,0.538±0.076,0.538±0.076,0.45±0.12s
LRGCN,Cornell,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.829±0.072,0.714±0.051,0.542±0.059,0.542±0.059,0.38±0.14s
