model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.924±0.004,0.911±0.004,0.910±0.006,0.910±0.006,6.66±1.48s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.924±0.004,0.911±0.004,0.910±0.006,0.910±0.006,6.74±1.55s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.924±0.002,0.910±0.004,0.911±0.006,0.911±0.006,6.10±0.69s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.924±0.002,0.910±0.004,0.911±0.006,0.911±0.006,6.23±0.71s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.923±0.003,0.910±0.003,0.910±0.007,0.910±0.007,5.92±0.74s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.923±0.003,0.910±0.003,0.910±0.007,0.910±0.007,5.92±0.83s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.921±0.004,0.908±0.003,0.908±0.006,0.908±0.006,4.77±0.97s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.921±0.004,0.908±0.003,0.908±0.006,0.908±0.006,4.66±0.96s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.923±0.001,0.908±0.004,0.909±0.006,0.909±0.006,5.14±0.94s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.923±0.001,0.908±0.004,0.909±0.006,0.909±0.006,5.23±0.96s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.920±0.004,0.906±0.007,0.909±0.005,0.909±0.005,4.07±1.01s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.920±0.004,0.906±0.007,0.909±0.005,0.909±0.005,3.95±0.98s
Goodie,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.918±0.008,0.905±0.005,0.908±0.007,0.908±0.007,14.20±2.88s
