model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.942±0.003,0.937±0.003,0.929±0.002,0.929±0.002,66.06±9.74s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.939±0.003,0.937±0.003,0.927±0.004,0.927±0.004,48.57±9.82s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.939±0.004,0.937±0.003,0.928±0.004,0.928±0.004,54.48±10.24s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.943±0.003,0.937±0.003,0.929±0.003,0.929±0.003,56.62±8.98s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.939±0.003,0.937±0.003,0.929±0.004,0.929±0.004,87.50±10.46s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.943±0.003,0.937±0.003,0.928±0.002,0.928±0.002,101.45±13.20s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.943±0.004,0.937±0.003,0.928±0.002,0.928±0.002,99.28±25.58s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.938±0.004,0.936±0.003,0.929±0.002,0.929±0.002,38.79±12.56s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.939±0.003,0.936±0.002,0.929±0.002,0.929±0.002,39.94±4.41s
LRGCN,Photo,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.938±0.004,0.936±0.003,0.929±0.004,0.929±0.004,39.94±8.74s
