model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.858±0.013,0.830±0.004,0.829±0.006,0.829±0.006,2.40±1.29s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.858±0.013,0.830±0.004,0.829±0.006,0.829±0.006,2.45±1.35s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.850±0.004,0.827±0.004,0.830±0.006,0.830±0.006,1.44±0.42s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.850±0.004,0.827±0.004,0.830±0.006,0.830±0.006,1.46±0.43s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.851±0.004,0.827±0.004,0.830±0.003,0.830±0.003,1.39±0.35s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.850±0.007,0.827±0.005,0.829±0.005,0.829±0.005,2.12±1.01s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.851±0.004,0.827±0.004,0.830±0.003,0.830±0.003,1.42±0.35s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.854±0.011,0.827±0.006,0.827±0.005,0.827±0.005,2.13±1.28s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.854±0.010,0.827±0.006,0.827±0.005,0.827±0.005,2.14±1.28s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.850±0.008,0.826±0.005,0.827±0.007,0.827±0.007,2.01±1.23s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.848±0.002,0.826±0.004,0.829±0.005,0.829±0.005,1.32±0.52s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.848±0.002,0.826±0.004,0.829±0.005,0.829±0.005,1.36±0.53s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.849±0.007,0.826±0.004,0.829±0.005,0.829±0.005,1.90±0.80s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.847±0.003,0.825±0.003,0.828±0.006,0.828±0.006,1.13±0.40s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.847±0.003,0.825±0.003,0.828±0.006,0.828±0.006,1.11±0.39s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.849±0.006,0.825±0.005,0.827±0.007,0.827±0.007,1.90±1.00s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.849±0.008,0.825±0.003,0.828±0.004,0.828±0.004,2.13±1.40s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.846±0.004,0.825±0.002,0.829±0.005,0.829±0.005,1.74±0.62s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.846±0.005,0.824±0.005,0.829±0.003,0.829±0.003,2.62±0.45s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.846±0.004,0.824±0.004,0.827±0.003,0.827±0.003,2.67±0.46s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.841±0.004,0.824±0.004,0.827±0.003,0.827±0.003,2.89±0.22s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.845±0.007,0.824±0.003,0.831±0.004,0.831±0.004,3.26±0.39s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.843±0.005,0.824±0.004,0.827±0.002,0.827±0.002,3.01±0.44s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.845±0.007,0.824±0.003,0.830±0.004,0.830±0.004,3.21±0.32s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.842±0.006,0.823±0.002,0.828±0.005,0.828±0.005,2.38±0.57s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.839±0.004,0.822±0.003,0.829±0.002,0.829±0.002,2.10±0.17s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.837±0.005,0.822±0.003,0.829±0.005,0.829±0.005,2.96±0.66s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.837±0.004,0.822±0.003,0.829±0.005,0.829±0.005,2.99±0.66s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.841±0.011,0.822±0.005,0.829±0.003,0.829±0.003,2.61±0.62s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.841±0.011,0.822±0.005,0.829±0.003,0.829±0.003,2.62±0.62s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.839±0.005,0.819±0.003,0.826±0.004,0.826±0.004,2.70±0.53s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.841±0.006,0.819±0.002,0.825±0.004,0.825±0.004,2.85±0.49s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.841±0.009,0.819±0.003,0.827±0.004,0.827±0.004,4.15±0.65s
Goodie,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.841±0.009,0.819±0.003,0.827±0.004,0.827±0.004,4.14±0.68s
