model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.881±0.002,0.874±0.003,0.837±0.003,0.837±0.003,18.39±1.32s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,2.0,0.99,1.0,0.881±0.002,0.874±0.003,0.836±0.003,0.836±0.003,20.92±2.68s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.881±0.002,0.874±0.003,0.837±0.003,0.837±0.003,28.32±1.80s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.881±0.001,0.873±0.001,0.835±0.002,0.835±0.002,16.47±1.50s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.879±0.002,0.873±0.003,0.837±0.003,0.837±0.003,16.29±1.15s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.879±0.001,0.873±0.002,0.836±0.003,0.836±0.003,26.16±2.13s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.879±0.001,0.873±0.002,0.837±0.003,0.837±0.003,27.01±2.60s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.881±0.001,0.873±0.002,0.837±0.002,0.837±0.002,32.26±3.32s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,2.0,0.99,1.0,0.881±0.002,0.873±0.003,0.836±0.003,0.836±0.003,31.20±1.68s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.879±0.003,0.872±0.003,0.835±0.002,0.835±0.002,15.50±1.50s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.881±0.002,0.872±0.002,0.835±0.003,0.835±0.003,17.58±1.31s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.879±0.001,0.872±0.003,0.836±0.003,0.836±0.003,17.39±1.48s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.878±0.001,0.872±0.003,0.836±0.002,0.836±0.002,16.38±1.37s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.879±0.002,0.872±0.002,0.837±0.003,0.837±0.003,25.68±3.98s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.881±0.002,0.872±0.002,0.835±0.002,0.835±0.002,29.61±4.17s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,2.0,0.99,1.0,0.882±0.001,0.872±0.002,0.835±0.002,0.835±0.002,32.10±2.56s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.99,1.0,0.880±0.002,0.871±0.003,0.838±0.001,0.838±0.001,15.49±1.23s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,2.0,0.99,1.0,0.880±0.001,0.871±0.003,0.837±0.002,0.837±0.002,16.49±1.04s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,1.0,0.99,1.0,0.881±0.002,0.871±0.003,0.838±0.002,0.838±0.002,21.92±1.40s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,2.0,0.99,1.0,0.881±0.002,0.871±0.004,0.836±0.003,0.836±0.003,25.72±2.87s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.879±0.001,0.871±0.002,0.838±0.003,0.838±0.003,13.91±1.68s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.878±0.004,0.871±0.002,0.839±0.003,0.839±0.003,12.96±2.28s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.875±0.002,0.871±0.002,0.835±0.002,0.835±0.002,12.84±1.79s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.877±0.002,0.871±0.003,0.835±0.002,0.835±0.002,13.49±1.47s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.877±0.002,0.871±0.002,0.835±0.002,0.835±0.002,23.14±2.14s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.878±0.001,0.871±0.002,0.835±0.002,0.835±0.002,23.34±1.61s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.878±0.001,0.870±0.003,0.836±0.003,0.836±0.003,13.00±1.76s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.880±0.003,0.870±0.003,0.836±0.002,0.836±0.002,13.40±1.98s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,2.0,0.99,1.0,0.879±0.002,0.870±0.003,0.837±0.002,0.837±0.002,13.80±1.01s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.877±0.001,0.870±0.003,0.838±0.002,0.838±0.002,12.74±0.51s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.878±0.001,0.870±0.002,0.839±0.001,0.839±0.001,13.64±0.12s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.878±0.001,0.870±0.002,0.837±0.002,0.837±0.002,17.92±2.77s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.878±0.001,0.870±0.002,0.838±0.002,0.838±0.002,18.55±0.88s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.879±0.002,0.870±0.002,0.839±0.002,0.839±0.002,20.23±0.52s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.876±0.002,0.869±0.002,0.836±0.002,0.836±0.002,10.36±0.86s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.877±0.001,0.869±0.003,0.837±0.002,0.837±0.002,13.63±0.51s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,1.0,0.99,1.0,0.880±0.002,0.869±0.002,0.836±0.002,0.836±0.002,19.15±1.80s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,2.0,0.99,1.0,0.880±0.002,0.869±0.003,0.837±0.003,0.837±0.003,20.87±1.09s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.878±0.002,0.869±0.002,0.839±0.003,0.839±0.003,18.78±0.88s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.879±0.002,0.869±0.002,0.839±0.003,0.839±0.003,28.31±6.06s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.880±0.002,0.869±0.002,0.839±0.003,0.839±0.003,30.53±1.99s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,1.0,0.99,1.0,0.877±0.002,0.868±0.002,0.839±0.002,0.839±0.002,13.20±0.66s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.875±0.004,0.868±0.002,0.838±0.003,0.838±0.003,8.84±0.95s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.875±0.002,0.868±0.002,0.835±0.002,0.835±0.002,10.90±1.16s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.876±0.002,0.868±0.002,0.837±0.002,0.837±0.002,16.22±1.40s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.877±0.001,0.868±0.001,0.837±0.002,0.837±0.002,17.00±2.07s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.873±0.001,0.868±0.002,0.837±0.003,0.837±0.003,22.58±2.97s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,2.0,0.99,1.0,0.875±0.003,0.867±0.004,0.838±0.003,0.838±0.003,13.06±1.69s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,1.0,0.99,1.0,0.876±0.003,0.867±0.003,0.839±0.004,0.839±0.004,17.46±2.27s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.875±0.004,0.867±0.002,0.840±0.004,0.840±0.004,8.45±1.77s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.873±0.002,0.867±0.003,0.834±0.004,0.834±0.004,13.41±1.54s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,2.0,0.99,1.0,0.877±0.002,0.866±0.003,0.836±0.002,0.836±0.002,11.40±0.59s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.872±0.003,0.866±0.002,0.838±0.002,0.838±0.002,11.08±0.64s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.874±0.002,0.866±0.002,0.837±0.002,0.837±0.002,11.64±0.83s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.5,0.99,1.0,0.875±0.001,0.866±0.002,0.839±0.003,0.839±0.003,12.00±0.46s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.874±0.002,0.866±0.002,0.839±0.002,0.839±0.002,15.41±1.42s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.5,0.99,1.0,0.876±0.002,0.866±0.003,0.839±0.003,0.839±0.003,15.84±1.02s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,2.0,0.99,1.0,0.876±0.004,0.866±0.005,0.839±0.003,0.839±0.003,16.99±1.77s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.877±0.002,0.866±0.002,0.840±0.004,0.840±0.004,16.99±1.21s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.878±0.002,0.866±0.003,0.839±0.003,0.839±0.003,19.78±4.09s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.874±0.003,0.865±0.003,0.837±0.003,0.837±0.003,9.93±1.06s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.875±0.002,0.865±0.002,0.839±0.002,0.839±0.002,15.27±0.66s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.871±0.002,0.865±0.002,0.835±0.005,0.835±0.005,21.40±2.11s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.874±0.003,0.864±0.003,0.839±0.003,0.839±0.003,7.25±1.19s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.871±0.006,0.864±0.002,0.837±0.002,0.837±0.002,8.53±1.13s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.870±0.009,0.864±0.003,0.837±0.002,0.837±0.002,8.79±1.66s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.871±0.009,0.864±0.003,0.838±0.002,0.838±0.002,9.77±1.75s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.875±0.002,0.864±0.002,0.837±0.002,0.837±0.002,14.47±1.43s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.875±0.002,0.864±0.002,0.838±0.002,0.838±0.002,14.87±1.97s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.871±0.009,0.864±0.004,0.838±0.003,0.838±0.003,11.64±2.37s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.872±0.002,0.864±0.003,0.837±0.004,0.837±0.004,16.39±1.71s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.870±0.001,0.864±0.003,0.831±0.005,0.831±0.005,11.56±1.19s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.869±0.003,0.864±0.003,0.834±0.004,0.834±0.004,19.59±2.49s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.872±0.003,0.863±0.003,0.837±0.003,0.837±0.003,7.51±1.31s
LRGCN,Pubmed,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.875±0.002,0.863±0.002,0.838±0.003,0.838±0.003,13.21±1.09s
