model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.634±0.078,0.627±0.048,0.575±0.079,0.575±0.079,0.71±0.27s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.634±0.078,0.627±0.048,0.575±0.079,0.575±0.079,0.72±0.28s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.632±0.075,0.619±0.063,0.578±0.075,0.578±0.075,0.68±0.26s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.632±0.075,0.619±0.063,0.578±0.075,0.578±0.075,0.67±0.25s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.627±0.061,0.610±0.065,0.587±0.077,0.587±0.077,0.68±0.32s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.627±0.061,0.610±0.065,0.587±0.077,0.587±0.077,0.68±0.32s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.620±0.077,0.610±0.052,0.579±0.072,0.579±0.072,0.62±0.22s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.620±0.077,0.610±0.052,0.579±0.072,0.579±0.072,0.62±0.22s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.624±0.061,0.609±0.065,0.583±0.076,0.583±0.076,0.69±0.38s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.624±0.061,0.609±0.065,0.583±0.076,0.583±0.076,0.66±0.37s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.678±0.074,0.608±0.061,0.587±0.067,0.587±0.067,0.65±0.12s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.678±0.074,0.608±0.061,0.587±0.067,0.587±0.067,0.64±0.11s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.631±0.062,0.606±0.066,0.586±0.078,0.586±0.078,0.64±0.33s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.631±0.062,0.606±0.066,0.586±0.078,0.586±0.078,0.62±0.32s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.672±0.088,0.606±0.063,0.578±0.069,0.578±0.069,0.64±0.16s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.672±0.088,0.606±0.063,0.578±0.069,0.578±0.069,0.63±0.16s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.654±0.065,0.603±0.065,0.587±0.086,0.587±0.086,0.66±0.18s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.645±0.077,0.603±0.070,0.584±0.079,0.584±0.079,0.64±0.19s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.654±0.065,0.603±0.065,0.587±0.086,0.587±0.086,0.65±0.18s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.645±0.077,0.603±0.070,0.584±0.079,0.584±0.079,0.65±0.20s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.614±0.079,0.602±0.053,0.578±0.073,0.578±0.073,0.62±0.29s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.614±0.079,0.602±0.053,0.578±0.073,0.578±0.073,0.62±0.29s
Goodie,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.612±0.063,0.600±0.064,0.580±0.072,0.580±0.072,0.62±0.28s
