model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.953±0.037,0.867±0.040,0.693±0.056,0.693±0.056,0.45±0.15s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.949±0.024,0.864±0.050,0.685±0.061,0.685±0.061,0.35±0.08s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.942±0.036,0.863±0.042,0.641±0.054,0.641±0.054,0.37±0.13s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.949±0.024,0.862±0.048,0.659±0.048,0.659±0.048,0.39±0.14s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.953±0.030,0.861±0.048,0.679±0.056,0.679±0.056,0.41±0.09s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.940±0.033,0.857±0.045,0.698±0.052,0.698±0.052,0.39±0.11s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.947±0.033,0.856±0.045,0.671±0.064,0.671±0.064,0.47±0.14s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.928±0.037,0.855±0.045,0.678±0.049,0.678±0.049,0.42±0.12s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.939±0.034,0.855±0.045,0.667±0.048,0.667±0.048,0.41±0.14s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.946±0.043,0.854±0.050,0.675±0.053,0.675±0.053,0.52±0.17s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.941±0.032,0.853±0.042,0.661±0.049,0.661±0.049,0.39±0.09s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.25,0.99,1.0,0.929±0.030,0.852±0.050,0.668±0.049,0.668±0.049,0.43±0.16s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.944±0.026,0.852±0.049,0.705±0.044,0.705±0.044,0.46±0.12s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.940±0.047,0.852±0.044,0.679±0.055,0.679±0.055,0.53±0.17s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.125,0.99,1.0,0.918±0.060,0.850±0.039,0.676±0.058,0.676±0.058,0.42±0.12s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.938±0.025,0.849±0.050,0.679±0.047,0.679±0.047,0.57±0.15s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.938±0.053,0.849±0.050,0.644±0.048,0.644±0.048,0.48±0.16s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.940±0.036,0.847±0.046,0.685±0.048,0.685±0.048,0.56±0.18s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.938±0.034,0.846±0.054,0.646±0.054,0.646±0.054,0.46±0.12s
LRGCN,Texas,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.940±0.038,0.846±0.044,0.640±0.050,0.640±0.050,0.43±0.12s
