model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.641±0.118,0.529±0.036,0.482±0.036,0.482±0.036,0.71±0.18s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.565±0.049,0.529±0.056,0.487±0.042,0.487±0.042,0.70±0.24s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.641±0.118,0.529±0.036,0.482±0.036,0.482±0.036,0.73±0.19s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.565±0.049,0.529±0.056,0.487±0.042,0.487±0.042,0.73±0.25s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.565±0.053,0.527±0.056,0.502±0.053,0.502±0.053,0.76±0.27s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.565±0.053,0.527±0.056,0.502±0.053,0.502±0.053,0.72±0.26s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.607±0.126,0.523±0.039,0.476±0.046,0.476±0.046,0.65±0.22s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.607±0.126,0.523±0.039,0.476±0.046,0.476±0.046,0.65±0.21s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.585±0.121,0.522±0.049,0.496±0.039,0.496±0.039,0.60±0.29s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.583±0.117,0.521±0.048,0.495±0.040,0.495±0.040,0.60±0.26s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.555±0.063,0.521±0.064,0.485±0.040,0.485±0.040,0.69±0.25s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.555±0.063,0.521±0.064,0.485±0.040,0.485±0.040,0.71±0.26s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.567±0.111,0.519±0.048,0.482±0.037,0.482±0.037,0.57±0.22s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.567±0.111,0.519±0.048,0.482±0.037,0.482±0.037,0.60±0.23s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.590±0.101,0.517±0.045,0.493±0.040,0.493±0.040,0.62±0.24s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.590±0.101,0.517±0.045,0.493±0.040,0.493±0.040,0.64±0.25s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.537±0.050,0.513±0.059,0.487±0.045,0.487±0.045,0.63±0.21s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.537±0.050,0.513±0.059,0.487±0.045,0.487±0.045,0.62±0.21s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.539±0.063,0.511±0.060,0.496±0.046,0.496±0.046,0.61±0.27s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.539±0.063,0.511±0.060,0.496±0.046,0.496±0.046,0.62±0.28s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.530±0.076,0.509±0.052,0.474±0.034,0.474±0.034,0.54±0.17s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.528±0.057,0.509±0.054,0.488±0.044,0.488±0.044,0.62±0.27s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.530±0.076,0.509±0.052,0.474±0.034,0.474±0.034,0.54±0.17s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.528±0.057,0.509±0.054,0.488±0.044,0.488±0.044,0.60±0.26s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.535±0.064,0.507±0.060,0.489±0.043,0.489±0.043,0.66±0.26s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.535±0.064,0.507±0.060,0.489±0.043,0.489±0.043,0.68±0.27s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.519±0.050,0.505±0.055,0.494±0.049,0.494±0.049,0.55±0.25s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.519±0.050,0.505±0.055,0.494±0.049,0.494±0.049,0.57±0.25s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.521±0.089,0.505±0.030,0.471±0.056,0.471±0.056,0.51±0.20s
Goodie,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.521±0.089,0.505±0.030,0.471±0.056,0.471±0.056,0.51±0.20s
