model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.939±0.043,0.825±0.046,0.576±0.063,0.576±0.063,0.60±0.18s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.938±0.031,0.823±0.044,0.583±0.060,0.583±0.060,0.47±0.13s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.930±0.038,0.822±0.040,0.572±0.058,0.572±0.058,0.50±0.14s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.925±0.031,0.818±0.046,0.586±0.058,0.586±0.058,0.37±0.10s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.915±0.028,0.815±0.045,0.580±0.063,0.580±0.063,0.40±0.09s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.915±0.040,0.815±0.042,0.576±0.057,0.576±0.057,0.50±0.14s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.924±0.041,0.815±0.044,0.571±0.061,0.571±0.061,0.58±0.21s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.916±0.037,0.815±0.051,0.575±0.056,0.575±0.056,0.39±0.12s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,1.0,0.99,1.0,0.919±0.042,0.813±0.048,0.584±0.057,0.584±0.057,0.44±0.12s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.920±0.034,0.813±0.042,0.576±0.053,0.576±0.053,0.49±0.15s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.923±0.023,0.811±0.047,0.568±0.058,0.568±0.058,0.47±0.12s
LRGCN,Wisconsin,uniform,0.0,struct,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.915±0.033,0.808±0.048,0.572±0.053,0.572±0.053,0.37±0.10s
