model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.363±0.075,0.264±0.005,0.254±0.008,0.254±0.008,2.33±0.46s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.342±0.059,0.264±0.005,0.255±0.010,0.255±0.010,2.33±0.45s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.363±0.075,0.264±0.005,0.254±0.008,0.254±0.008,2.43±0.47s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.342±0.059,0.264±0.005,0.255±0.010,0.255±0.010,2.41±0.47s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.371±0.081,0.264±0.005,0.255±0.009,0.255±0.009,2.50±0.61s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.371±0.081,0.264±0.005,0.255±0.009,0.255±0.009,2.52±0.61s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.300±0.047,0.263±0.007,0.254±0.008,0.254±0.008,2.14±0.53s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.361±0.052,0.263±0.008,0.256±0.008,0.256±0.008,4.23±2.38s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.300±0.047,0.263±0.007,0.254±0.008,0.254±0.008,2.20±0.54s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.343±0.046,0.263±0.009,0.256±0.010,0.256±0.010,3.48±1.33s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.380±0.081,0.263±0.006,0.252±0.011,0.252±0.011,2.54±0.55s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.380±0.081,0.263±0.006,0.252±0.011,0.252±0.011,2.55±0.56s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.367±0.082,0.263±0.007,0.256±0.006,0.256±0.006,2.81±0.60s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.317±0.047,0.263±0.006,0.256±0.008,0.256±0.008,2.77±0.74s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.298±0.043,0.263±0.006,0.254±0.005,0.254±0.005,2.98±1.04s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.295±0.045,0.263±0.006,0.255±0.006,0.255±0.006,2.94±1.27s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.292±0.047,0.263±0.006,0.256±0.005,0.256±0.005,2.83±1.24s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.367±0.082,0.263±0.007,0.256±0.006,0.256±0.006,2.84±0.59s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.316±0.047,0.263±0.006,0.256±0.008,0.256±0.008,2.76±0.71s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.298±0.043,0.263±0.006,0.254±0.005,0.254±0.005,3.04±1.03s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.295±0.045,0.263±0.006,0.255±0.006,0.255±0.006,2.99±1.26s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.292±0.047,0.263±0.006,0.256±0.005,0.256±0.005,2.86±1.24s
Goodie,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.277±0.015,0.262±0.007,0.255±0.006,0.255±0.006,2.16±0.56s
