model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,2.0,0.99,1.0,0.833±0.007,0.621±0.002,0.223±0.010,0.223±0.010,16.45±0.58s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,2.0,0.99,1.0,0.834±0.011,0.620±0.003,0.223±0.007,0.223±0.007,32.23±3.77s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,2.0,0.99,1.0,0.837±0.010,0.617±0.003,0.227±0.011,0.227±0.011,18.49±2.02s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.736±0.011,0.613±0.007,0.222±0.007,0.222±0.007,7.47±0.52s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.728±0.007,0.612±0.003,0.216±0.009,0.216±0.009,14.70±0.76s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.818±0.007,0.611±0.004,0.221±0.008,0.221±0.008,26.68±3.39s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.809±0.012,0.610±0.006,0.223±0.007,0.223±0.007,12.38±1.90s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,2.0,0.99,1.0,0.838±0.009,0.610±0.006,0.221±0.008,0.221±0.008,35.25±2.59s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.814±0.006,0.609±0.005,0.226±0.011,0.226±0.011,13.56±0.71s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.827±0.006,0.608±0.003,0.220±0.007,0.220±0.007,31.48±3.12s
LRGCN,Actor,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.730±0.017,0.607±0.008,0.226±0.006,0.226±0.006,7.42±0.96s
