model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.847±0.009,0.684±0.012,0.670±0.016,0.670±0.016,1.10±0.30s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.847±0.009,0.684±0.012,0.670±0.016,0.670±0.016,1.09±0.31s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.846±0.007,0.683±0.014,0.674±0.018,0.674±0.018,1.52±0.36s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.846±0.007,0.683±0.014,0.674±0.018,0.674±0.018,1.47±0.35s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.846±0.008,0.682±0.014,0.672±0.017,0.672±0.017,1.35±0.27s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.846±0.008,0.682±0.014,0.672±0.017,0.672±0.017,1.34±0.27s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.844±0.007,0.682±0.013,0.670±0.013,0.670±0.013,1.14±0.38s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.844±0.007,0.682±0.013,0.670±0.013,0.670±0.013,1.16±0.39s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.840±0.010,0.678±0.011,0.668±0.015,0.668±0.015,0.98±0.22s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.840±0.010,0.678±0.011,0.668±0.015,0.668±0.015,1.00±0.23s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.842±0.006,0.676±0.011,0.661±0.017,0.661±0.017,0.88±0.08s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.842±0.006,0.676±0.011,0.661±0.017,0.661±0.017,0.90±0.08s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.848±0.007,0.675±0.011,0.665±0.017,0.665±0.017,1.01±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.848±0.007,0.675±0.011,0.665±0.017,0.665±0.017,1.03±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.814±0.009,0.675±0.012,0.659±0.010,0.659±0.010,1.15±0.20s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.814±0.009,0.675±0.012,0.659±0.010,0.659±0.010,1.16±0.22s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.841±0.011,0.674±0.009,0.658±0.014,0.658±0.014,0.91±0.08s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.841±0.011,0.674±0.009,0.658±0.014,0.658±0.014,0.91±0.08s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,1.0,0.832±0.022,0.674±0.009,0.662±0.012,0.662±0.012,0.94±0.06s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,1.0,0.832±0.022,0.674±0.009,0.662±0.012,0.662±0.012,0.95±0.06s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.810±0.010,0.673±0.012,0.660±0.014,0.660±0.014,1.18±0.11s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.808±0.009,0.673±0.010,0.661±0.011,0.661±0.011,1.20±0.12s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.810±0.010,0.673±0.012,0.660±0.014,0.660±0.014,1.19±0.11s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.808±0.009,0.673±0.010,0.661±0.011,0.661±0.011,1.19±0.12s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.817±0.010,0.673±0.010,0.657±0.012,0.657±0.012,1.13±0.12s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.824±0.022,0.672±0.018,0.659±0.018,0.659±0.018,1.31±0.66s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,1.0,0.824±0.022,0.672±0.018,0.659±0.018,0.659±0.018,1.29±0.66s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.817±0.010,0.672±0.010,0.657±0.012,0.657±0.012,1.12±0.12s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.806±0.004,0.670±0.010,0.659±0.008,0.659±0.008,0.92±0.06s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.806±0.004,0.670±0.010,0.659±0.008,0.659±0.008,0.93±0.05s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.831±0.009,0.669±0.011,0.657±0.017,0.657±0.017,0.98±0.11s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.831±0.009,0.669±0.011,0.657±0.017,0.657±0.017,0.98±0.11s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.814±0.011,0.667±0.011,0.656±0.014,0.656±0.014,1.24±0.27s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.809±0.013,0.666±0.013,0.652±0.016,0.652±0.016,1.05±0.13s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.813±0.011,0.666±0.012,0.656±0.014,0.656±0.014,1.21±0.27s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.809±0.013,0.666±0.013,0.652±0.016,0.652±0.016,1.03±0.12s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.806±0.011,0.665±0.013,0.654±0.017,0.654±0.017,1.09±0.15s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.806±0.011,0.665±0.013,0.654±0.017,0.654±0.017,1.09±0.15s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.1,0.809±0.012,0.665±0.013,0.655±0.011,0.655±0.011,1.05±0.16s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.1,0.809±0.012,0.665±0.013,0.654±0.011,0.654±0.011,1.04±0.16s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.797±0.023,0.664±0.010,0.655±0.012,0.655±0.012,1.03±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.797±0.023,0.664±0.010,0.655±0.012,0.655±0.012,1.05±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.804±0.007,0.661±0.013,0.646±0.015,0.646±0.015,1.49±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.804±0.007,0.661±0.013,0.647±0.015,0.647±0.015,1.47±0.17s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.795±0.004,0.661±0.017,0.647±0.011,0.647±0.011,1.09±0.30s
Goodie,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.795±0.004,0.661±0.017,0.647±0.011,0.647±0.011,1.08±0.29s
