model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.997±0.002,0.857±0.007,0.703±0.007,0.703±0.007,1.01±0.19s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.997±0.001,0.854±0.003,0.701±0.011,0.701±0.011,1.12±0.22s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.971±0.053,0.853±0.006,0.705±0.014,0.705±0.014,1.18±0.41s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.901±0.031,0.851±0.007,0.717±0.006,0.717±0.006,0.39±0.09s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.909±0.045,0.851±0.010,0.711±0.005,0.711±0.005,0.42±0.11s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.946±0.064,0.851±0.007,0.707±0.013,0.707±0.013,0.84±0.28s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.957±0.052,0.850±0.007,0.705±0.013,0.705±0.013,0.62±0.27s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.976±0.043,0.848±0.005,0.703±0.012,0.703±0.012,0.68±0.22s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.991±0.014,0.847±0.007,0.695±0.013,0.695±0.013,0.71±0.19s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.998±0.001,0.847±0.004,0.699±0.007,0.699±0.007,1.16±0.19s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.882±0.028,0.846±0.009,0.719±0.005,0.719±0.005,0.34±0.09s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.913±0.048,0.846±0.009,0.711±0.013,0.711±0.013,0.47±0.17s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.945±0.065,0.846±0.008,0.707±0.013,0.707±0.013,0.91±0.28s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.890±0.018,0.845±0.010,0.719±0.011,0.719±0.011,0.35±0.09s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.890±0.026,0.842±0.008,0.714±0.011,0.714±0.011,0.36±0.12s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.900±0.051,0.842±0.011,0.717±0.010,0.717±0.010,0.48±0.12s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.896±0.054,0.840±0.009,0.718±0.008,0.718±0.008,0.48±0.13s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.968±0.059,0.837±0.007,0.702±0.016,0.702±0.016,0.66±0.19s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.883±0.029,0.836±0.011,0.716±0.010,0.716±0.010,0.33±0.09s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.889±0.006,0.834±0.008,0.720±0.010,0.720±0.010,0.34±0.10s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.884±0.005,0.834±0.010,0.725±0.011,0.725±0.011,0.34±0.09s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.896±0.014,0.834±0.009,0.714±0.010,0.714±0.010,0.37±0.13s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.997±0.000,0.834±0.006,0.698±0.012,0.698±0.012,0.68±0.08s
LRGCN,Citeseer,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.998±0.001,0.834±0.005,0.701±0.009,0.701±0.009,1.17±0.20s
