model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.911±0.007,0.843±0.017,0.846±0.015,0.846±0.015,1.44±0.29s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.911±0.007,0.843±0.017,0.846±0.015,0.846±0.015,1.50±0.30s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.910±0.007,0.843±0.019,0.844±0.018,0.844±0.018,1.06±0.20s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.910±0.007,0.843±0.019,0.844±0.018,0.844±0.018,1.05±0.20s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.910±0.006,0.842±0.018,0.843±0.017,0.843±0.017,1.32±0.27s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.910±0.006,0.842±0.018,0.843±0.017,0.843±0.017,1.33±0.27s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.908±0.008,0.842±0.019,0.843±0.017,0.843±0.017,1.01±0.17s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.908±0.008,0.842±0.019,0.843±0.017,0.843±0.017,1.04±0.17s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.909±0.008,0.842±0.019,0.844±0.015,0.844±0.015,1.01±0.23s
Goodie,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.909±0.008,0.842±0.019,0.844±0.015,0.844±0.015,1.03±0.23s
