model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.907±0.013,0.889±0.008,0.859±0.018,0.859±0.018,0.37±0.15s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.958±0.046,0.888±0.005,0.857±0.014,0.857±0.014,0.84±0.31s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.962±0.042,0.888±0.005,0.859±0.013,0.859±0.013,0.81±0.27s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.915±0.035,0.888±0.006,0.855±0.014,0.855±0.014,0.53±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.902±0.009,0.888±0.008,0.856±0.015,0.856±0.015,0.51±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.917±0.012,0.887±0.006,0.858±0.019,0.858±0.019,0.31±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.910±0.021,0.887±0.008,0.855±0.019,0.855±0.019,0.42±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.908±0.014,0.887±0.007,0.861±0.016,0.861±0.016,0.35±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.910±0.017,0.886±0.008,0.854±0.015,0.854±0.015,0.41±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.914±0.011,0.886±0.006,0.861±0.018,0.861±0.018,0.33±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.896±0.007,0.886±0.008,0.857±0.016,0.857±0.016,0.40±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.902±0.010,0.886±0.008,0.857±0.015,0.857±0.015,0.51±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.25,0.99,1.0,0.920±0.014,0.885±0.010,0.858±0.018,0.858±0.018,0.32±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.5,0.99,1.0,0.912±0.009,0.885±0.007,0.859±0.018,0.859±0.018,0.32±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.936±0.021,0.885±0.008,0.863±0.011,0.863±0.011,0.45±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.906±0.012,0.885±0.009,0.856±0.016,0.856±0.016,0.40±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.916±0.013,0.885±0.009,0.854±0.017,0.854±0.017,0.31±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.897±0.013,0.885±0.007,0.856±0.018,0.856±0.018,0.41±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.960±0.046,0.885±0.010,0.859±0.012,0.859±0.012,0.67±0.26s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.968±0.036,0.885±0.006,0.859±0.012,0.859±0.012,0.71±0.36s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.919±0.012,0.885±0.008,0.857±0.014,0.857±0.014,0.36±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.922±0.037,0.885±0.005,0.861±0.015,0.861±0.015,0.66±0.26s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.908±0.006,0.884±0.005,0.854±0.021,0.854±0.021,0.30±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.5,0.99,1.0,0.907±0.027,0.884±0.010,0.856±0.011,0.856±0.011,0.40±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.928±0.035,0.884±0.008,0.863±0.016,0.863±0.016,0.53±0.21s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.926±0.037,0.884±0.005,0.861±0.016,0.861±0.016,0.50±0.15s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.966±0.033,0.884±0.009,0.853±0.016,0.853±0.016,0.61±0.29s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.930±0.035,0.883±0.006,0.863±0.016,0.863±0.016,0.48±0.13s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.918±0.040,0.883±0.005,0.859±0.020,0.859±0.020,0.50±0.17s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.904±0.012,0.883±0.009,0.859±0.016,0.859±0.016,0.51±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.5,0.99,1.0,0.912±0.011,0.882±0.010,0.856±0.019,0.856±0.019,0.41±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.25,0.99,1.0,0.921±0.017,0.882±0.009,0.857±0.016,0.857±0.016,0.32±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.912±0.014,0.882±0.007,0.855±0.014,0.855±0.014,0.42±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.943±0.029,0.882±0.011,0.857±0.016,0.857±0.016,0.65±0.21s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,1.0,0.99,1.0,0.914±0.023,0.881±0.007,0.855±0.015,0.855±0.015,0.33±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.125,0.99,1.0,0.930±0.019,0.881±0.010,0.855±0.018,0.855±0.018,0.33±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,0.25,0.99,1.0,0.919±0.015,0.881±0.008,0.857±0.015,0.857±0.015,0.33±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.932±0.028,0.881±0.008,0.860±0.015,0.860±0.015,0.45±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.911±0.015,0.881±0.008,0.858±0.016,0.858±0.016,0.42±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.946±0.042,0.881±0.008,0.859±0.012,0.859±0.012,0.42±0.13s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.962±0.042,0.881±0.005,0.857±0.014,0.857±0.014,0.52±0.24s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,1.0,0.99,1.0,0.922±0.029,0.881±0.005,0.852±0.020,0.852±0.020,0.33±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.920±0.008,0.881±0.009,0.856±0.019,0.856±0.019,0.32±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,1.0,0.99,1.0,0.930±0.024,0.881±0.007,0.861±0.014,0.861±0.014,0.44±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.25,0.99,1.0,0.914±0.014,0.881±0.006,0.857±0.016,0.857±0.016,0.43±0.08s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.911±0.011,0.881±0.009,0.857±0.018,0.857±0.018,0.36±0.10s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.25,0.99,1.0,0.937±0.026,0.880±0.010,0.854±0.015,0.854±0.015,0.44±0.08s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.940±0.031,0.880±0.004,0.860±0.017,0.860±0.017,0.40±0.15s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.5,0.99,1.0,0.914±0.010,0.880±0.007,0.858±0.022,0.858±0.022,0.44±0.11s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.930±0.034,0.880±0.004,0.861±0.013,0.861±0.013,0.47±0.22s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.904±0.016,0.880±0.006,0.851±0.018,0.851±0.018,0.35±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.919±0.021,0.880±0.008,0.857±0.019,0.857±0.019,0.36±0.09s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.912±0.018,0.880±0.007,0.854±0.018,0.854±0.018,0.54±0.12s
LRGCN,Cora,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.926±0.037,0.880±0.008,0.859±0.015,0.859±0.015,0.63±0.19s
