model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.564±0.100,0.521±0.064,0.497±0.064,0.497±0.064,0.69±0.21s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.564±0.100,0.521±0.064,0.497±0.064,0.497±0.064,0.65±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.564±0.100,0.521±0.064,0.497±0.064,0.497±0.064,0.68±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.564±0.100,0.521±0.064,0.497±0.064,0.497±0.064,0.68±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.566±0.109,0.516±0.063,0.505±0.064,0.505±0.064,0.65±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.566±0.109,0.516±0.063,0.505±0.064,0.505±0.064,0.67±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.566±0.109,0.516±0.063,0.505±0.064,0.505±0.064,0.67±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.566±0.109,0.516±0.063,0.505±0.064,0.505±0.064,0.66±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.551±0.095,0.515±0.067,0.509±0.067,0.509±0.067,0.64±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.551±0.095,0.515±0.067,0.509±0.067,0.509±0.067,0.63±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.551±0.095,0.515±0.067,0.509±0.067,0.509±0.067,0.66±0.20s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.551±0.095,0.515±0.067,0.509±0.067,0.509±0.067,0.62±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.555±0.096,0.512±0.052,0.500±0.065,0.500±0.065,0.65±0.18s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.555±0.096,0.512±0.052,0.500±0.065,0.500±0.065,0.66±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.555±0.096,0.512±0.052,0.500±0.065,0.500±0.065,0.64±0.18s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.555±0.096,0.512±0.052,0.500±0.065,0.500±0.065,0.65±0.19s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.546±0.124,0.502±0.075,0.497±0.050,0.497±0.050,0.61±0.25s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.546±0.124,0.502±0.075,0.497±0.050,0.497±0.050,0.61±0.25s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.546±0.124,0.502±0.075,0.497±0.050,0.497±0.050,0.62±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.546±0.124,0.502±0.075,0.497±0.050,0.497±0.050,0.62±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.549±0.126,0.497±0.075,0.493±0.053,0.493±0.053,0.61±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.549±0.126,0.497±0.075,0.493±0.053,0.493±0.053,0.64±0.28s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.549±0.126,0.497±0.075,0.493±0.053,0.493±0.053,0.61±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.549±0.126,0.497±0.075,0.493±0.053,0.493±0.053,0.63±0.27s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.513±0.101,0.495±0.061,0.492±0.076,0.492±0.076,0.62±0.27s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.513±0.101,0.495±0.061,0.492±0.076,0.492±0.076,0.59±0.25s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.603±0.135,0.495±0.045,0.463±0.061,0.463±0.061,0.65±0.24s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.603±0.135,0.495±0.045,0.463±0.061,0.463±0.061,0.65±0.23s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.513±0.101,0.495±0.061,0.492±0.076,0.492±0.076,0.60±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.513±0.101,0.495±0.061,0.492±0.076,0.492±0.076,0.60±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.603±0.135,0.495±0.045,0.463±0.061,0.463±0.061,0.66±0.24s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.603±0.135,0.495±0.045,0.463±0.061,0.463±0.061,0.64±0.23s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.508±0.086,0.494±0.060,0.492±0.076,0.492±0.076,0.62±0.27s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.508±0.086,0.494±0.060,0.492±0.076,0.492±0.076,0.60±0.25s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.508±0.086,0.494±0.060,0.492±0.076,0.492±0.076,0.59±0.25s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.508±0.086,0.494±0.060,0.492±0.076,0.492±0.076,0.60±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.590±0.124,0.492±0.059,0.470±0.059,0.470±0.059,0.67±0.23s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.590±0.124,0.492±0.059,0.470±0.059,0.470±0.059,0.66±0.22s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.590±0.124,0.492±0.059,0.470±0.059,0.470±0.059,0.67±0.23s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.590±0.124,0.492±0.059,0.470±0.059,0.470±0.059,0.65±0.22s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.525±0.094,0.491±0.059,0.499±0.077,0.499±0.077,0.61±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.525±0.094,0.491±0.059,0.499±0.077,0.499±0.077,0.61±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.525±0.094,0.491±0.059,0.499±0.077,0.499±0.077,0.60±0.26s
Goodie,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.525±0.094,0.491±0.059,0.499±0.077,0.499±0.077,0.63±0.27s
