model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.912±0.101,0.669±0.051,0.537±0.060,0.537±0.060,0.37±0.12s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.934±0.087,0.667±0.049,0.537±0.058,0.537±0.058,0.25±0.06s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.911±0.071,0.665±0.051,0.541±0.060,0.541±0.060,0.33±0.06s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.882±0.113,0.665±0.046,0.553±0.068,0.553±0.068,0.25±0.07s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.918±0.086,0.662±0.058,0.536±0.060,0.536±0.060,0.35±0.10s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.914±0.115,0.662±0.044,0.544±0.066,0.544±0.066,0.25±0.05s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.893±0.110,0.661±0.047,0.535±0.057,0.535±0.057,0.33±0.07s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.928±0.074,0.661±0.047,0.547±0.063,0.547±0.063,0.26±0.06s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.914±0.101,0.660±0.047,0.536±0.051,0.536±0.051,0.26±0.07s
LRGCN,Cornell,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.903±0.122,0.660±0.051,0.531±0.053,0.531±0.053,0.25±0.06s
