model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.924±0.003,0.911±0.004,0.910±0.006,0.910±0.006,7.36±2.14s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.924±0.003,0.911±0.004,0.910±0.006,0.910±0.006,7.39±2.16s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.924±0.002,0.910±0.004,0.910±0.006,0.910±0.006,6.13±0.66s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.924±0.002,0.910±0.004,0.910±0.006,0.910±0.006,6.04±0.59s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.923±0.004,0.910±0.004,0.909±0.006,0.909±0.006,5.76±1.24s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.923±0.004,0.910±0.004,0.909±0.006,0.909±0.006,5.76±1.21s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.922±0.003,0.909±0.005,0.909±0.005,0.909±0.005,14.84±4.05s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.923±0.003,0.909±0.004,0.908±0.006,0.908±0.006,14.71±4.64s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,1.0,0.924±0.003,0.909±0.004,0.908±0.005,0.908±0.005,15.12±1.98s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.923±0.003,0.909±0.005,0.909±0.006,0.909±0.006,14.72±3.79s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.923±0.003,0.909±0.004,0.908±0.006,0.908±0.006,14.69±4.38s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.923±0.002,0.908±0.005,0.909±0.005,0.909±0.005,12.99±1.60s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.923±0.002,0.908±0.005,0.909±0.005,0.909±0.005,13.02±1.59s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.921±0.005,0.908±0.003,0.907±0.006,0.907±0.006,4.38±0.92s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.921±0.005,0.908±0.003,0.908±0.007,0.908±0.007,4.75±1.07s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.922±0.002,0.907±0.005,0.908±0.006,0.908±0.006,11.72±2.02s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.922±0.002,0.907±0.005,0.908±0.006,0.908±0.006,12.18±2.19s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.922±0.002,0.907±0.005,0.908±0.006,0.908±0.006,13.44±2.22s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.922±0.002,0.907±0.005,0.908±0.006,0.908±0.006,13.76±2.50s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.922±0.001,0.907±0.003,0.909±0.007,0.909±0.007,4.56±1.04s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.922±0.001,0.907±0.003,0.908±0.007,0.908±0.007,4.52±1.06s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.920±0.003,0.906±0.005,0.906±0.006,0.906±0.006,9.98±1.10s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.920±0.003,0.906±0.005,0.906±0.006,0.906±0.006,10.88±1.21s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.922±0.002,0.906±0.006,0.908±0.005,0.908±0.005,4.20±0.60s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.922±0.002,0.906±0.006,0.908±0.005,0.908±0.005,4.29±0.66s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.914±0.014,0.900±0.015,0.900±0.008,0.900±0.008,12.81±4.31s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,1.0,0.914±0.014,0.900±0.015,0.900±0.008,0.900±0.008,13.57±4.58s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.912±0.007,0.899±0.005,0.902±0.007,0.902±0.007,12.19±1.33s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.911±0.003,0.899±0.004,0.902±0.009,0.902±0.009,12.53±2.11s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.910±0.005,0.898±0.004,0.901±0.009,0.901±0.009,12.03±2.48s
Goodie,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.909±0.005,0.898±0.004,0.902±0.007,0.902±0.007,10.81±0.41s
