model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.125,0.99,1.0,0.963±0.014,0.927±0.003,0.924±0.005,0.924±0.005,20.11±3.27s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.25,0.99,1.0,0.964±0.007,0.927±0.003,0.925±0.004,0.925±0.004,20.47±2.55s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,0.5,0.99,1.0,0.961±0.016,0.927±0.003,0.923±0.005,0.923±0.005,19.56±5.20s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,1.0,0.99,1.0,0.973±0.010,0.927±0.002,0.924±0.004,0.924±0.004,24.18±7.52s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.978±0.006,0.927±0.003,0.923±0.005,0.923±0.005,25.55±4.39s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,3,0.125,0.99,1.0,0.970±0.017,0.927±0.003,0.924±0.006,0.924±0.006,23.75±7.48s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.972±0.014,0.927±0.003,0.923±0.004,0.923±0.004,39.03±15.66s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.968±0.005,0.927±0.003,0.924±0.004,0.924±0.004,27.04±3.05s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.969±0.007,0.927±0.002,0.924±0.004,0.924±0.004,29.38±3.81s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,0.125,0.99,1.0,0.971±0.010,0.927±0.004,0.923±0.004,0.923±0.004,33.90±15.74s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.977±0.006,0.927±0.003,0.922±0.005,0.922±0.005,66.67±30.14s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.971±0.007,0.927±0.003,0.923±0.006,0.923±0.006,67.99±49.98s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.967±0.009,0.927±0.002,0.924±0.004,0.924±0.004,43.83±6.63s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.966±0.015,0.927±0.002,0.923±0.004,0.923±0.004,48.59±21.13s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.125,0.99,1.0,0.960±0.024,0.926±0.004,0.921±0.004,0.921±0.004,11.75±4.67s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,0.5,0.99,1.0,0.965±0.010,0.926±0.002,0.922±0.005,0.922±0.005,10.27±1.79s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,1.0,0.99,1.0,0.953±0.014,0.926±0.003,0.923±0.005,0.923±0.005,8.79±1.45s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,2,0.125,0.99,1.0,0.972±0.008,0.926±0.004,0.921±0.006,0.921±0.006,12.36±3.65s
LRGCN,Photo,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.25,0.99,1.0,0.971±0.011,0.926±0.004,0.925±0.005,0.925±0.005,22.55±5.18s
