model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.851±0.008,0.827±0.002,0.829±0.005,0.829±0.005,1.60±0.87s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.851±0.008,0.827±0.002,0.829±0.005,0.829±0.005,1.57±0.85s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.850±0.006,0.827±0.005,0.828±0.005,0.828±0.005,1.77±0.79s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.850±0.006,0.827±0.005,0.828±0.005,0.828±0.005,1.79±0.80s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.850±0.006,0.826±0.004,0.828±0.003,0.828±0.003,1.24±0.51s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.850±0.007,0.826±0.004,0.828±0.003,0.828±0.003,1.25±0.56s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.848±0.004,0.825±0.004,0.828±0.005,0.828±0.005,1.17±0.49s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.848±0.004,0.825±0.004,0.828±0.005,0.828±0.005,1.15±0.48s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.847±0.001,0.825±0.004,0.828±0.004,0.828±0.004,1.23±0.45s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.847±0.001,0.825±0.004,0.828±0.004,0.828±0.004,1.22±0.44s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.847±0.003,0.825±0.003,0.828±0.005,0.828±0.005,1.32±0.24s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.847±0.003,0.825±0.003,0.828±0.005,0.828±0.005,1.33±0.25s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.845±0.002,0.824±0.003,0.826±0.004,0.826±0.004,1.39±0.22s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.845±0.002,0.824±0.003,0.826±0.004,0.826±0.004,1.40±0.22s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.845±0.001,0.824±0.002,0.826±0.004,0.826±0.004,1.72±0.37s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.845±0.001,0.824±0.002,0.826±0.004,0.826±0.004,1.71±0.36s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.1,0.845±0.001,0.822±0.004,0.824±0.006,0.824±0.006,1.57±0.39s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.1,0.845±0.001,0.822±0.004,0.824±0.006,0.824±0.006,1.60±0.41s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.840±0.014,0.818±0.011,0.818±0.006,0.818±0.006,3.45±1.03s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.840±0.014,0.818±0.011,0.818±0.006,0.818±0.006,3.51±1.06s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.837±0.013,0.817±0.007,0.821±0.006,0.821±0.006,2.60±0.50s
Goodie,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.837±0.013,0.817±0.007,0.821±0.006,0.821±0.006,2.59±0.49s
