model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.904±0.004,0.873±0.003,0.841±0.005,0.841±0.005,13.19±3.23s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,1.0,0.99,1.0,0.908±0.003,0.873±0.002,0.835±0.006,0.835±0.006,18.80±1.74s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,2.0,0.99,1.0,0.910±0.004,0.873±0.002,0.836±0.004,0.836±0.004,20.67±2.42s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,2.0,0.99,1.0,0.912±0.003,0.873±0.002,0.835±0.005,0.835±0.005,34.41±2.81s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,1.0,0.99,1.0,0.902±0.004,0.872±0.002,0.840±0.004,0.840±0.004,14.30±1.55s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,2.0,0.99,1.0,0.907±0.001,0.872±0.002,0.837±0.005,0.837±0.005,15.90±0.78s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.903±0.004,0.872±0.002,0.837±0.003,0.837±0.003,14.11±1.09s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,1.0,0.99,1.0,0.907±0.005,0.872±0.003,0.836±0.007,0.836±0.007,17.14±2.23s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.5,0.99,1.0,0.904±0.005,0.872±0.003,0.837±0.004,0.837±0.004,16.91±1.77s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,2.0,0.99,1.0,0.910±0.003,0.872±0.003,0.833±0.005,0.833±0.005,32.61±2.94s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.5,0.99,1.0,0.905±0.004,0.872±0.003,0.837±0.005,0.837±0.005,29.14±5.03s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,1.0,0.99,1.0,0.911±0.003,0.872±0.003,0.834±0.005,0.834±0.005,32.51±2.58s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.903±0.004,0.871±0.003,0.842±0.004,0.842±0.004,9.91±1.58s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.5,0.99,1.0,0.906±0.004,0.871±0.003,0.838±0.005,0.838±0.005,15.61±1.83s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,3,2.0,0.99,1.0,0.909±0.002,0.871±0.002,0.837±0.005,0.837±0.005,24.41±2.08s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.905±0.003,0.871±0.003,0.839±0.004,0.839±0.004,13.42±1.79s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.896±0.004,0.871±0.002,0.838±0.003,0.838±0.003,11.99±1.53s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.898±0.004,0.871±0.001,0.838±0.004,0.838±0.004,12.76±0.98s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.900±0.007,0.871±0.003,0.837±0.005,0.837±0.005,16.18±2.38s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.903±0.004,0.871±0.003,0.837±0.004,0.837±0.004,16.63±1.32s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.897±0.004,0.871±0.003,0.838±0.003,0.838±0.003,20.37±4.61s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.899±0.003,0.871±0.002,0.838±0.004,0.838±0.004,20.46±1.00s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.902±0.004,0.871±0.003,0.837±0.003,0.837±0.003,23.01±4.94s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,1.0,0.99,1.0,0.907±0.002,0.871±0.003,0.837±0.004,0.837±0.004,27.49±2.27s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.901±0.005,0.871±0.003,0.837±0.004,0.837±0.004,25.32±4.03s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.904±0.005,0.871±0.003,0.837±0.004,0.837±0.004,26.86±5.00s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,1.0,0.99,1.0,0.897±0.004,0.870±0.003,0.842±0.004,0.842±0.004,13.20±2.00s
LRGCN,Pubmed,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,3,2.0,0.99,1.0,0.898±0.004,0.870±0.003,0.840±0.006,0.840±0.006,13.16±1.05s
