model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.728±0.102,0.680±0.052,0.610±0.071,0.610±0.071,0.83±0.17s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.728±0.102,0.680±0.052,0.610±0.071,0.610±0.071,0.85±0.17s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.728±0.105,0.674±0.053,0.618±0.074,0.618±0.074,0.79±0.19s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.728±0.105,0.674±0.053,0.618±0.074,0.618±0.074,0.83±0.20s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.708±0.109,0.670±0.053,0.607±0.078,0.607±0.078,0.78±0.19s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.708±0.109,0.670±0.053,0.607±0.078,0.607±0.078,0.78±0.19s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.714±0.106,0.651±0.079,0.621±0.073,0.621±0.073,0.74±0.20s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.714±0.106,0.651±0.079,0.621±0.073,0.621±0.073,0.77±0.21s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.698±0.113,0.644±0.064,0.606±0.090,0.606±0.090,0.69±0.24s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.698±0.113,0.644±0.064,0.606±0.090,0.606±0.090,0.68±0.24s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.736±0.106,0.642±0.057,0.597±0.076,0.597±0.076,0.77±0.15s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.769±0.109,0.642±0.041,0.595±0.069,0.595±0.069,0.86±0.21s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.736±0.106,0.642±0.057,0.597±0.076,0.597±0.076,0.74±0.14s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.769±0.109,0.642±0.041,0.595±0.069,0.595±0.069,0.85±0.21s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.745±0.097,0.634±0.062,0.596±0.066,0.596±0.066,0.77±0.20s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.745±0.097,0.634±0.062,0.596±0.066,0.596±0.066,0.74±0.19s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.654±0.097,0.631±0.083,0.601±0.077,0.601±0.077,0.69±0.30s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.654±0.097,0.631±0.083,0.601±0.077,0.601±0.077,0.71±0.31s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.697±0.117,0.630±0.086,0.595±0.079,0.595±0.079,0.69±0.26s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.697±0.117,0.630±0.086,0.595±0.079,0.595±0.079,0.68±0.26s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.645±0.087,0.626±0.079,0.595±0.073,0.595±0.073,0.67±0.27s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.645±0.087,0.626±0.079,0.595±0.073,0.595±0.073,0.68±0.27s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.697±0.123,0.623±0.066,0.602±0.067,0.602±0.067,0.75±0.27s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.697±0.123,0.623±0.066,0.602±0.067,0.602±0.067,0.72±0.25s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.657±0.094,0.622±0.084,0.591±0.075,0.591±0.075,0.68±0.31s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.657±0.094,0.622±0.084,0.591±0.075,0.591±0.075,0.71±0.33s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.656±0.108,0.620±0.082,0.588±0.071,0.588±0.071,0.72±0.38s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.655±0.105,0.620±0.082,0.588±0.071,0.588±0.071,0.71±0.37s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.686±0.107,0.616±0.064,0.596±0.071,0.596±0.071,0.67±0.21s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.686±0.107,0.616±0.064,0.596±0.071,0.596±0.071,0.70±0.22s
Goodie,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.1,0.607±0.057,0.594±0.082,0.584±0.077,0.584±0.077,0.52±0.22s
