model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.549±0.044,0.546±0.053,0.566±0.065,0.566±0.065,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.549±0.044,0.546±0.053,0.566±0.065,0.566±0.065,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.555±0.042,0.544±0.054,0.567±0.067,0.567±0.067,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.555±0.042,0.544±0.054,0.567±0.067,0.567±0.067,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.937±0.027,0.481±0.063,0.501±0.065,0.501±0.065,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.937±0.027,0.481±0.063,0.501±0.065,0.501±0.065,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.991±0.007,0.417±0.072,0.436±0.072,0.436±0.072,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.991±0.007,0.417±0.072,0.436±0.072,0.436±0.072,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.992±0.007,0.374±0.085,0.401±0.064,0.401±0.064,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.992±0.007,0.374±0.085,0.401±0.064,0.401±0.064,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.257±0.127,0.277±0.110,0.277±0.110,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.257±0.127,0.277±0.110,0.277±0.110,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.229±0.146,0.245±0.131,0.245±0.131,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.229±0.146,0.245±0.131,0.245±0.131,0.01±0.00s
