model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.962±0.048,0.826±0.052,0.678±0.058,0.678±0.058,0.26±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.975±0.046,0.820±0.050,0.661±0.051,0.661±0.051,0.26±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.951±0.049,0.819±0.051,0.654±0.067,0.654±0.067,0.36±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.950±0.040,0.818±0.057,0.642±0.055,0.642±0.055,0.33±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.964±0.035,0.818±0.055,0.658±0.060,0.658±0.060,0.36±0.09s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.125,0.99,1.0,0.933±0.065,0.813±0.055,0.675±0.061,0.675±0.061,0.36±0.09s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.969±0.034,0.811±0.054,0.665±0.064,0.665±0.064,0.25±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.125,0.99,1.0,0.936±0.061,0.810±0.068,0.692±0.050,0.692±0.050,0.24±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.25,0.99,1.0,0.938±0.071,0.810±0.062,0.686±0.053,0.686±0.053,0.26±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.947±0.045,0.804±0.047,0.684±0.055,0.684±0.055,0.35±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.125,0.99,1.0,0.948±0.058,0.803±0.064,0.679±0.051,0.679±0.051,0.27±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.25,0.99,1.0,0.918±0.070,0.801±0.055,0.679±0.050,0.679±0.050,0.33±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.125,0.99,1.0,0.953±0.043,0.800±0.050,0.652±0.064,0.652±0.064,0.35±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.950±0.037,0.800±0.050,0.667±0.076,0.667±0.076,0.35±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.125,0.99,1.0,0.964±0.048,0.799±0.055,0.661±0.070,0.661±0.070,0.26±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.955±0.063,0.798±0.053,0.659±0.059,0.659±0.059,0.28±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.25,0.99,1.0,0.935±0.070,0.797±0.063,0.689±0.060,0.689±0.060,0.25±0.04s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.125,0.99,1.0,0.917±0.049,0.796±0.053,0.682±0.060,0.682±0.060,0.34±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.967±0.030,0.795±0.054,0.694±0.057,0.694±0.057,0.25±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,2,0.5,0.99,1.0,0.905±0.090,0.794±0.055,0.683±0.053,0.683±0.053,0.24±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.125,0.99,1.0,0.905±0.085,0.793±0.051,0.678±0.059,0.678±0.059,0.33±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.25,0.99,1.0,0.969±0.039,0.792±0.047,0.659±0.056,0.659±0.056,0.26±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.25,0.99,1.0,0.934±0.068,0.791±0.050,0.643±0.065,0.643±0.065,0.34±0.07s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.125,0.99,1.0,0.935±0.071,0.791±0.063,0.695±0.052,0.695±0.052,0.24±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,3,0.125,0.99,1.0,0.932±0.075,0.790±0.065,0.688±0.045,0.688±0.045,0.26±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,2,0.5,0.99,1.0,0.904±0.063,0.790±0.061,0.696±0.053,0.696±0.053,0.34±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,3,0.25,0.99,1.0,0.926±0.075,0.788±0.063,0.686±0.047,0.686±0.047,0.25±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,3,0.25,0.99,1.0,0.926±0.074,0.787±0.049,0.672±0.061,0.672±0.061,0.34±0.08s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,2,0.5,0.99,1.0,0.897±0.094,0.786±0.059,0.680±0.044,0.680±0.044,0.26±0.06s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.25,0.99,1.0,0.927±0.056,0.786±0.055,0.678±0.057,0.678±0.057,0.37±0.09s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,2,0.5,0.99,1.0,0.905±0.073,0.782±0.053,0.690±0.055,0.690±0.055,0.34±0.05s
LRGCN,Texas,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,2,0.125,0.99,1.0,0.918±0.085,0.781±0.044,0.673±0.055,0.673±0.055,0.37±0.07s
