model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.001,0.693±0.124,0.592±0.079,0.555±0.067,0.555±0.067,0.86±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.001,0.693±0.124,0.592±0.079,0.555±0.067,0.555±0.067,0.89±0.30s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.001,0.657±0.111,0.578±0.087,0.556±0.070,0.556±0.070,0.82±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.001,0.657±0.111,0.578±0.087,0.556±0.070,0.556±0.070,0.81±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.01,0.644±0.105,0.569±0.088,0.553±0.077,0.553±0.077,0.74±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.01,0.644±0.105,0.569±0.088,0.553±0.077,0.553±0.077,0.74±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.01,0.638±0.128,0.565±0.094,0.534±0.068,0.534±0.068,0.74±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.01,0.638±0.128,0.565±0.094,0.534±0.068,0.534±0.068,0.73±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,0.1,0.612±0.106,0.554±0.102,0.538±0.078,0.538±0.078,0.68±0.30s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,0.1,0.612±0.106,0.554±0.102,0.538±0.078,0.538±0.078,0.65±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.001,0.662±0.150,0.549±0.047,0.495±0.037,0.495±0.037,0.77±0.34s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.001,0.662±0.151,0.549±0.047,0.495±0.037,0.495±0.037,0.79±0.35s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.999,0.1,0.584±0.089,0.541±0.097,0.521±0.086,0.521±0.086,0.60±0.25s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.999,0.1,0.584±0.089,0.541±0.097,0.521±0.086,0.521±0.086,0.58±0.25s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.01,0.653±0.150,0.540±0.052,0.495±0.046,0.495±0.046,0.72±0.27s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.01,0.653±0.150,0.540±0.052,0.495±0.046,0.495±0.046,0.72±0.27s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.9,0.1,0.612±0.121,0.531±0.053,0.492±0.048,0.492±0.048,0.63±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.9,0.1,0.613±0.121,0.531±0.053,0.492±0.048,0.492±0.048,0.63±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.001,0.551±0.127,0.518±0.075,0.495±0.069,0.495±0.069,0.57±0.33s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.001,0.551±0.127,0.518±0.075,0.495±0.069,0.495±0.069,0.56±0.32s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.01,0.559±0.099,0.516±0.056,0.485±0.037,0.485±0.037,0.58±0.20s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.01,0.543±0.104,0.516±0.083,0.494±0.068,0.494±0.068,0.55±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.01,0.559±0.099,0.516±0.056,0.485±0.037,0.485±0.037,0.55±0.19s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.01,0.543±0.104,0.516±0.083,0.494±0.068,0.494±0.068,0.54±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.1,0.559±0.114,0.515±0.064,0.481±0.044,0.481±0.044,0.57±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.1,0.559±0.114,0.515±0.064,0.481±0.044,0.481±0.044,0.56±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.9,0.001,0.547±0.099,0.514±0.054,0.488±0.035,0.488±0.035,0.57±0.19s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.9,0.001,0.547±0.099,0.514±0.054,0.488±0.035,0.488±0.035,0.56±0.18s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.001,0.551±0.099,0.508±0.057,0.490±0.050,0.490±0.050,0.50±0.25s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.001,0.551±0.099,0.508±0.057,0.490±0.050,0.490±0.050,0.50±0.25s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,0.01,0.554±0.096,0.507±0.056,0.492±0.048,0.492±0.048,0.52±0.27s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.9,0.01,0.554±0.096,0.507±0.056,0.492±0.048,0.492±0.048,0.50±0.26s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.999,0.001,0.526±0.089,0.507±0.079,0.489±0.061,0.489±0.061,0.50±0.24s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.999,0.001,0.526±0.089,0.507±0.079,0.489±0.061,0.489±0.061,0.49±0.24s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.01,0.528±0.090,0.506±0.071,0.499±0.051,0.499±0.051,0.50±0.28s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.01,0.528±0.090,0.506±0.071,0.499±0.051,0.499±0.051,0.52±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.1,0.516±0.079,0.505±0.074,0.493±0.047,0.493±0.047,0.45±0.22s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.1,0.516±0.079,0.505±0.074,0.493±0.047,0.493±0.047,0.46±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,0.01,0.518±0.091,0.505±0.074,0.484±0.054,0.484±0.054,0.49±0.23s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,0.01,0.518±0.091,0.505±0.074,0.484±0.054,0.484±0.054,0.47±0.22s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,0.001,0.520±0.089,0.504±0.067,0.497±0.053,0.497±0.053,0.49±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,0.001,0.520±0.089,0.504±0.067,0.497±0.053,0.497±0.053,0.48±0.29s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.488±0.057,0.500±0.053,0.488±0.044,0.488±0.044,0.42±0.07s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.488±0.057,0.500±0.053,0.488±0.044,0.488±0.044,0.41±0.07s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.1,0.509±0.067,0.499±0.065,0.499±0.048,0.499±0.048,0.41±0.17s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.999,0.1,0.509±0.067,0.499±0.065,0.499±0.048,0.499±0.048,0.43±0.17s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.9,1.0,0.507±0.076,0.498±0.056,0.485±0.047,0.485±0.047,0.40±0.05s
Goodie,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.999,0.001,0.513±0.071,0.498±0.066,0.502±0.053,0.502±0.053,0.47±0.21s
