model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.25,0.99,1.0,0.964±0.042,0.781±0.051,0.607±0.045,0.607±0.045,0.38±0.12s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.125,0.99,1.0,0.972±0.040,0.780±0.046,0.601±0.064,0.601±0.064,0.38±0.09s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,0.5,0.99,1.0,0.956±0.054,0.777±0.042,0.604±0.058,0.604±0.058,0.38±0.15s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.25,0.99,1.0,0.976±0.028,0.772±0.049,0.612±0.059,0.612±0.059,0.26±0.06s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.125,0.99,1.0,0.981±0.024,0.767±0.046,0.614±0.051,0.614±0.051,0.28±0.08s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,0.5,0.99,1.0,0.948±0.041,0.763±0.053,0.616±0.065,0.616±0.065,0.26±0.08s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,0.5,0.99,1.0,0.966±0.039,0.757±0.045,0.611±0.069,0.611±0.069,0.37±0.12s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,1.0,0.99,1.0,0.950±0.038,0.756±0.052,0.631±0.055,0.631±0.055,0.28±0.17s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,1.0,0.99,1.0,0.914±0.083,0.750±0.037,0.613±0.060,0.613±0.060,0.41±0.29s
LRGCN,Wisconsin,uniform,0.0,uniform,0.9,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,0.5,0.99,1.0,0.960±0.035,0.743±0.055,0.623±0.059,0.623±0.059,0.26±0.07s
